calibr_id,rfm_id,smile,canonical_ikey,name,source,source_id,status,reframedb_url
CBR-001-210-403-9,,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,STQGQHZAVUOBTE,Daunorubicin hydrochloride,Santa Cruz,sc-200921,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/STQGQHZAVUOBTE;qid=Q27166572"")"
CBR-050-073-723-5,,O=C(O)Cc1ccccc1,WLJVXDMOQOGPHL,Sodium phenylacetate,TSRI synthesis,Jin Quan:NN17,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/WLJVXDMOQOGPHL;qid=Q82314538"")"
CBR-001-571-700-7,RFM-000-685-9,CCCCCCc1ccc(O)cc1O,WFJIVOKAWHGMBH,HEXYLRESORCINOL,Oxchem,AX8018168,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/WFJIVOKAWHGMBH;qid=Q229969"")"
CBR-050-265-483-3,RFM-000-731-8;RFM-006-106-3,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,RZJQGNCSTQAWON,ROFECOXIB162011-90-7,Sigma-Aldrich,SML0613,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/RZJQGNCSTQAWON;qid=Q82298666"")"
CBR-001-858-267-7,RFM-009-224-0,COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,JOWXJLIFIIOYMS,CUDC-907,Jubilant Chemsys,G0004-011652,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/JOWXJLIFIIOYMS;qid=Q27076926"")"
CBR-001-572-879-7,RFM-001-809-7,CN(CCCl)CCCl,HAWPXGHAZFHHAD,Chlormethine hydrochloride,"Ark Pharm, Inc",AK-51730,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/HAWPXGHAZFHHAD;qid=Q418011"")"
CBR-001-573-554-3,RFM-002-352-9,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,ASUTZQLVASHGKV,Galanthamine,AvaChem Scientific,1543B,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/ASUTZQLVASHGKV;qid=Q27286219"")"
CBR-001-571-288-6,RFM-000-306-5,O=S(=O)(O)CCS,ZNEWHQLOPFWXOF,,Enamine,EN300-49858,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/ZNEWHQLOPFWXOF;qid=Q579229"")"
CBR-001-572-749-8,RFM-001-679-5,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,DWZAEMINVBZMHQ,gedatolisib,Key Organics,FE-0013,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/DWZAEMINVBZMHQ;qid=Q27077788"")"
CBR-001-585-029-0,RFM-004-609-3,C=C[C@@](C)(/C=C/c1ccc(O)cc1)CCC=C(C)C,LFYJSSARVMHQJB,Drupanol,MedChem Express,HY-N0235,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/LFYJSSARVMHQJB;qid=Q105151218"")"
CBR-001-571-181-6,RFM-000-206-2,CNC(=O)Oc1cccc2ccccc12,CVXBEEMKQHEXEN,CARBARIL,Enamine,EN300-06105,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/CVXBEEMKQHEXEN;qid=Q83056902"")"
CBR-050-270-265-0,RFM-004-540-9;RFM-014-137-7,O=c1c2ccccc2[se]n1-c1ccccc1,DYEFUKCXAQOFHX,ebselen,AK Scientific,V1941,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/DYEFUKCXAQOFHX;qid=Q5332073"")"
CBR-050-245-175-4,RFM-012-385-3,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF,Curcumin,MedChem Express,HY-N0005,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/VFLDPWHFBUODDF;qid=Q105285406"")"
CBR-001-846-678-9,RFM-004-173-6,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,RBTBFTRPCNLSDE,Methylene Blue trihydrate,TCI Europe,A0574,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/RBTBFTRPCNLSDE;qid=Q27097395"")"
CBR-001-846-698-3,RFM-000-181-0,c1ccc2[nH]c(-c3cscn3)nc2c1,WJCNZQLZVWNLKY,THIABENDAZOLE148-79-8,Enamine,EN300-20737,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/WJCNZQLZVWNLKY;qid=Q424986"")"
CBR-001-572-682-6,RFM-001-612-6,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,OUZWUKMCLIBBOG,ETHOXZOLAMIDE,Sigma-Aldrich,333328,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/OUZWUKMCLIBBOG;qid=Q265352"")"
CBR-050-297-650-3,RFM-004-729-0,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,YBJHBAHKTGYVGT,BIOTIN,ChemSpace,T1116,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/YBJHBAHKTGYVGT;qid=Q27166494"")"
CBR-000-767-553-8,,Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,QJZRFPJCWMNVAV,Ispinesib (SB-715992),(Kal) PHARMARON,ABP245-038,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/QJZRFPJCWMNVAV;qid=Q27165465"")"
CBR-001-574-486-2,RFM-003-282-6,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,XRYJULCDUUATMC,CGP-75166,Sigma-Aldrich,SML1095,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/XRYJULCDUUATMC;qid=Q27088404"")"
CBR-001-572-770-5,RFM-001-700-5,COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1,GLBJJMFZWDBELO,pimobendan,Key Organics,KS-1280,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/GLBJJMFZWDBELO;qid=Q414351"")"
CBR-050-365-947-0,RFM-000-753-4,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,VGEREEWJJVICBM,Phloretin,Sigma-Aldrich,12515850,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/VGEREEWJJVICBM;qid=Q2268463"")"
CBR-050-365-803-5,RFM-001-702-7,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,OROAFUQRIXKEMV,4-({2-butyl-5-[(1E)-2-carboxy-3-(2-thienyl)-1-propenyl]-1H-imidazol-1-yl}methyl)benzoic acid; eprosartan mesylate,Sigma-Aldrich,3515237034,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/OROAFUQRIXKEMV;qid=Q27165845"")"
CBR-050-127-022-0,RFM-012-623-8,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,PGAVKCOVUIYSFO,URIDINE-5'-TRIPHOSPHATE NA,MedChem Express,HY-107372,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/PGAVKCOVUIYSFO;qid=Q27104565"")"
CBR-050-266-858-8,RFM-009-842-0,C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,VLSMHEGGTFMBBZ,KAINIC ACID,Sigma-Aldrich,K0250,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/VLSMHEGGTFMBBZ;qid=Q105288659"")"
CBR-050-365-604-0,RFM-000-388-3,Nc1nc2ccc(OC(F)(F)F)cc2s1,FTALBRSUTCGOEG,Riluzole,Sigma-Aldrich,110981782,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/FTALBRSUTCGOEG;qid=Q415744"")"
CBR-001-597-351-0,RFM-002-067-7;RFM-007-174-9,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,CEUORZQYGODEFX,ARIPIPRAZOLE,Abblis Chemicals LLC,AB1006698,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/CEUORZQYGODEFX;qid=Q82561590"")"
CBR-050-324-312-7,RFM-003-014-8,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,YTAOBBFIOAEMLL,Luliconazole,Sigma-Aldrich,SML 1595-5MG,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/YTAOBBFIOAEMLL;qid=Q27266357"")"
CBR-001-586-297-2,RFM-005-565-2,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,HDWIHXWEUNVBIY,Bendrofluazide,Sigma-Aldrich,MFCD00078963,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/HDWIHXWEUNVBIY;qid=Q82695933"")"
CBR-050-297-637-6,RFM-004-742-7,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,RWSXRVCMGQZWBV,GLUTATHIONE,ChemSpace,T1085,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/RWSXRVCMGQZWBV;qid=Q27125060"")"
CBR-050-265-704-7,RFM-005-714-7,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,MJIHNNLFOKEZEW,Lansoprazole,Sigma-Aldrich,L8533,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/MJIHNNLFOKEZEW;qid=Q82579314"")"
CBR-001-586-020-5,RFM-005-291-5,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,JWJOTENAMICLJG,dutasteride,Sigma-Aldrich,MFCD09843955,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/JWJOTENAMICLJG;qid=Q424760"")"
CBR-001-583-137-5,RFM-003-674-8,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,DJWYOLJPSHDSAL,Pantethine,Combi Blocks,SS-2988,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/DJWYOLJPSHDSAL;qid=Q228762"")"
CBR-050-297-749-3,RFM-001-900-1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,FPIPGXGPPPQFEQ,RETINOL,ChemSpace,T1183,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/FPIPGXGPPPQFEQ;qid=Q104999218"")"
CBR-050-266-637-7,RFM-003-597-2,N#Cc1ccc(N2CCN(C(=O)COc3ccc4[nH]cc(CCN)c4c3)CC2)cc1,SOHCKWZVTCTQBG,Donitriptan monohydrochloride,Sigma-Aldrich,D9071,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/SOHCKWZVTCTQBG;qid=Q19597008"")"
CBR-001-586-005-6,RFM-005-276-6,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,XUKUURHRXDUEBC,Atorvastatin calcium,Sigma-Aldrich,MFCD00899261,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/XUKUURHRXDUEBC;qid=Q83006198"")"
CBR-001-583-203-8,RFM-003-728-5,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,OZOMQRBLCMDCEG,Dantrolene??Sodium,Enamine,Z91274084,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/OZOMQRBLCMDCEG;qid=Q421274"")"
CBR-050-073-334-6,RFM-012-610-3,O=C(Cn1ccnc1[N+](=O)[O-])NCCO,WCDWBPCFGJXFJZ,ETANIDAZOLE,MedKoo Biosciences,206031,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/WCDWBPCFGJXFJZ;qid=Q5402427"")"
CBR-050-266-937-6,RFM-005-986-9,NC[C@H](O)c1ccc(O)c(O)c1,SFLSHLFXELFNJZ,(-)-Norepinephrine,Sigma-Aldrich,A9512,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/SFLSHLFXELFNJZ;qid=Q27087994"")"
CBR-001-571-588-5,RFM-000-573-2,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,SGOIRFVFHAKUTI,Tenofovir (TFV),"Ark Pharm, Inc",AK-33334,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/SGOIRFVFHAKUTI;qid=Q82561542"")"
CBR-050-265-289-3,RFM-005-682-6,CN1C(=O)CC[C@H]1c1cccnc1,UIKROCXWUNQSPJ,(-)-Cotinine,Sigma-Aldrich,C5923,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/UIKROCXWUNQSPJ;qid=Q82340918"")"
CBR-050-266-513-6,RFM-003-295-1,CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,KHYPYQZQJSBPIX,Sematilide monohydrochloride monohydrate,Sigma-Aldrich,S0323,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/KHYPYQZQJSBPIX;qid=Q7449133"")"
CBR-050-264-381-4,RFM-004-382-3,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,HBOMLICNUCNMMY,Zidovudine,Sigma-Aldrich,A2169,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/HBOMLICNUCNMMY;qid=Q27896268"")"
CBR-001-624-827-4,RFM-008-593-8;RFM-008-879-9,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,OGAKLTJNUQRZJU,Difenidol hydrochloride,Sigma-Aldrich,MFCD00151479,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/OGAKLTJNUQRZJU;qid=Q5279734"")"
CBR-001-574-313-2,RFM-003-109-4,CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)O,MTHORRSSURHQPZ,Bindarit,Selleck Chemicals,S3032,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/MTHORRSSURHQPZ;qid=Q27281631"")"
CBR-001-586-842-5,RFM-006-105-2,CNCC/C=C/c1cccnc1,JUOSGGQXEBBCJB,RJR 2403 ; Rivanicline; METANICOTINE,Sigma-Aldrich,PH006788,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/JUOSGGQXEBBCJB;qid=Q7336984"")"
CBR-001-844-162-8,RFM-001-958-9,CCc1cc(C(N)=S)ccn1,AEOCXXJPGCBFJA,Ethionamide,AK Scientific,M381,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/AEOCXXJPGCBFJA;qid=Q414767"")"
CBR-001-570-985-0,RFM-000-017-9,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,PBMSWVPMRUJMPE,PHTHALYLSULFATHIAZOLE,TCI Japan,T0703,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/PBMSWVPMRUJMPE;qid=Q4493189"")"
CBR-001-571-205-7,RFM-000-230-2,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,NWPRCRWQMGIBOT,Etofylline,Enamine,EN300-21180,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/NWPRCRWQMGIBOT;qid=Q3733837"")"
CBR-001-574-645-9,RFM-003-440-2,COc1ccc2c(c1)CCC(c1ccccc1)=C2c1ccc(OCCN2CCCC2)cc1,JEYWNNAZDLFBFF,nafoxidine,Sigma-Aldrich,MFCD00056572,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/JEYWNNAZDLFBFF;qid=Q6958201"")"
CBR-001-574-004-2,RFM-002-802-4,COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1,IRYFCWPNDIUQOW,Fluanisone,Labotest,LT00071673,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/IRYFCWPNDIUQOW;qid=Q5462605"")"
CBR-001-571-291-1,RFM-000-309-8,Nc1ccc(S(=O)(=O)N([Ag])c2ncccn2)cc1,UEJSSZHHYBHCEL,Silver sulfadiazine,AK Scientific,69422,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/UEJSSZHHYBHCEL;qid=Q420984"")"
CBR-001-584-580-4,RFM-004-160-1,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1,UPPMZCXMQRVMME,"valethamate bromide, Essential",TCI Europe,V0063,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/UPPMZCXMQRVMME;qid=Q27276155"")"
CBR-001-586-567-5,RFM-005-832-2,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,HUPFGZXOMWLGNK,,Sigma-Aldrich,MFCD00057834,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/HUPFGZXOMWLGNK;qid=Q2602750"")"
CBR-001-574-226-4,RFM-003-022-8,CCC(CC)CC1(C(=O)Nc2ccccc2SC(=O)C(C)C)CCCCC1,YZQLWPMZQVHJED,dalcetrapib,Selleck Chemicals,S2772,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/YZQLWPMZQVHJED;qid=Q5210285"")"
CBR-001-584-983-9,RFM-004-563-6,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,PTOAARAWEBMLNO,,MedChem Express,HY-13599,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/PTOAARAWEBMLNO;qid=Q27189548"")"
CBR-001-624-572-0,RFM-008-624-8,CN(C)[C@@H]1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,TUEWQXNXQFRUTK,OXYTETRACYCLINE,Sigma-Aldrich,MFCD00151234,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/TUEWQXNXQFRUTK;qid=nan"")"
CBR-050-266-618-4,RFM-005-705-6,CNCCCN1c2ccccc2CCc2ccccc21,HCYAFALTSJYZDH,Desipramine,Sigma-Aldrich,D3900,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/HCYAFALTSJYZDH;qid=Q82579103"")"
CBR-001-574-444-2,RFM-003-240-6,CC(=O)SC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,FHHHOYXPRDYHEZ,alacepril,Sigma-Aldrich,MFCD00869538,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/FHHHOYXPRDYHEZ;qid=Q3290792"")"
CBR-001-624-618-7,RFM-008-670-4,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,CVBMAZKKCSYWQR,Deserpidine,Key Organics,MD-0232,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/CVBMAZKKCSYWQR;qid=Q5263885"")"
CBR-001-573-639-7,RFM-002-437-3,CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1,JRLOEMCOOZSCQP,REV-5901,Cayman Chemical,70600,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/JRLOEMCOOZSCQP;qid=Q27163617"")"
CBR-001-584-813-2,RFM-004-393-6,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,ZAFYATHCZYHLPB,ZOLPIDEM TARTRATE,"Shanghai iChemical Technology Co., Ltd",I06-0128,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/ZAFYATHCZYHLPB;qid=Q82579588"")"
CBR-001-574-371-2,RFM-003-167-4,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,SHZKQBHERIJWAO,,Sigma-Aldrich,MFCD06795644,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/SHZKQBHERIJWAO;qid=Q7116436"")"
CBR-050-191-220-5,,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,VLEUZFDZJKSGMX,,Sigma-Aldrich,MFCD00238710,not plated but available for one-off testing,"=HYPERLINK(""https://reframedb.org//compound_data/VLEUZFDZJKSGMX;qid=Q27277912"")"
CBR-001-572-038-4,RFM-000-970-1,CC(=O)Nc1ncc([N+](=O)[O-])s1,UJRRDDHEMZLWFI,AMINITROZOLE,Sigma-Aldrich,33978,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/UJRRDDHEMZLWFI;qid=Q27272354"")"
CBR-001-584-977-1,RFM-004-557-8,O=C1NC(O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,UCKYOOZPSJFJIZ,Tetrahydrouridine,Merck Chemicals,584222,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/UCKYOOZPSJFJIZ;qid=Q27237004"")"
CBR-001-572-435-3,RFM-001-366-1,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,TVYLLZQTGLZFBW,Tramadol,Specs,AE-641/00605033,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/TVYLLZQTGLZFBW;qid=Q27266848"")"
CBR-001-572-571-0,RFM-001-501-0,Clc1cccc(SC2CCNCC2)n1,GGALEXMXDMUMDM,anpirtoline,Biotech Organics,CL13098,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/GGALEXMXDMUMDM;qid=Q27164702"")"
CBR-001-584-744-6,RFM-004-324-3,CC(C)C[C@@H](C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1)[C@H](O)C(=O)NO,FWFGIHPGRQZWIW,Tosedostat (CHR2797),Bio-Techne,3595,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/FWFGIHPGRQZWIW;qid=Q27166812"")"
CBR-001-574-516-1,RFM-003-311-4;RFM-001-529-2;RFM-000-200-6,Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1,JNTOCHDNEULJHD,,Sigma-Aldrich,MFCD15142866,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/JNTOCHDNEULJHD;qid=Q82842559"")"
CBR-001-574-481-7,RFM-003-277-9,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(N=O)CC[C@@H]4[C@H]3CC[C@@]21CC,FPGXTJXAYVNDRS,Norelgestromin,Sigma-Aldrich,MFCD20133786,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/FPGXTJXAYVNDRS;qid=nan"")"
CBR-001-584-893-8,RFM-004-473-5,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,QGZYDVAGYRLSKP,ACY-1215,MedChem Express,HY-16026,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/QGZYDVAGYRLSKP;qid=Q27088553"")"
CBR-050-365-681-3,,CNC[C@H](O)c1cccc(O)c1,SONNWYBIRXJNDC,"L-PHENYLEPHRINE, >98%; Phenylephrine hydrochloride",Sigma-Aldrich,110972921,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/SONNWYBIRXJNDC;qid=Q27225518"")"
CBR-001-571-442-8,RFM-000-428-4,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,MBUVEWMHONZEQD,azelastine hydrochloride,Selleck Chemicals,S2552,plated and available for follow-up,"=HYPERLINK(""https://reframedb.org//compound_data/MBUVEWMHONZEQD;qid=Q27124261"")"
